Game_ID,Timestamp,Winner,Player_X,Player_O,Mode,Moves_Played_X,Moves_Played_O
20231129070608,2023-11-29 07:06:08.574332,X,Bot,Human,single,3,2
20231129070631,2023-11-29 07:06:31.834281,X,Bot,Human,single,3,2
20231129070714,2023-11-29 07:07:14.188538,O,Human,Human,two,3,3
20231129071532,2023-11-29 07:15:32.189950,X,Human,Human,two,5,4
20231129071647,2023-11-29 07:16:47.435725,X,Bot,Human,single,3,2
20231129071706,2023-11-29 07:17:06.208327,X,Bot,Human,single,3,2
20231129071728,2023-11-29 07:17:28.994159,X,Human,Human,two,3,2
20231129071753,2023-11-29 07:17:53.405900,X,Bot,Human,single,4,3
20231129071819,2023-11-29 07:18:19.001415,X,Bot,Human,single,3,2
20231129071835,2023-11-29 07:18:35.861394,X,Bot,Human,single,3,2
20231129071915,2023-11-29 07:19:15.390617,O,Human,Human,two,3,3
